english	sign
not easy to speak english	english say no easy
the children look up to her	student look her
it looks interesting to me	that look him like
he was born in mathura	he born place m a t h u r a
1835	1 8 3 5
pappa went to the bathroom	father bathroom go
instead of me he went there	he me change there go
you were born in nanded	you born place n a n d e d
lunch let's go eat	lets_go eat
always her clothes smelly	she shirt waste smell
rugby is my favourite sport	r u g b y me like game
for me it was too easy	too easy me
are you in your senses	you what mind
enjoyable	enjoyable
a man can't live without dreams	man no breathe dream no
they went to her dad's office	go father office
they came yesterday to see you	they come you look past
741	7 4 1
477	4 7 7
it appears that they are truthful	they recognize they truth
it is raining cats and dogs	rain big
you were born in ulhasnagar	you born place u l h a s n a g a r
he was born on 11 february 1990	he born 1 1 f 1 9 9 0
the car raised a cloud of dust	drive raise dust
i was born in jalalpur	me born place j a l a l p u r
everyone knows about this book	everyone know book
afghan persian is spoken in afghanistan	a f g h a n blank p e r s i a n say a f g h a n i s t a n
you are not right	you wrong
they couldn’t do swimming	they know no how swim
tejal likes going to the barber	t e j a l like go barber
on the farm i worked all day	me work farmland day
5 people are walking	5 people walk
for me it was too difficult	too difficult me
5 people are there in his family	her family 5 people
get out of here	get_out
english is spoken in australia	e n g l i s h say a u s t r a l i a
ivy lived most of her life in dawson and was born in 1917	i v y born 1 9 1 7 and stay d a w s o n
today can we meet	we today meet can
the plane's arrival is at 3	plane come at 3
he has got on my nerves	he me headache
this poem how you understand	you how interpret this poem
december	d cold
he is bored doing nothing	he bored doing nothing
settle the matters somehow	somehow settle matter
she has blue eyes and fair hair	she blue eyes good hair
myanmar is situated on the east of india 	m y a n m a r keep east i n d i a
increasing is the population	population increase
her grandfather died in 2005	her grandfather died 2 0 0 5
can you take him to the toilet	what you him bathroom go
should i help you	me help you
he has been wanting to do it for the past 16 years	he like work past 1 6 year
what your papa job	you father doing
i was born in november	me born n cracker
just a child they said	must child they say
they did not allow her to meet her	she allow meet her no
a large folder he will give you	he you take large folder
the earth around the sun moves	earth around sun
you were born in october	you born october
such a kind woman i've never met	me no meet kind women
shall i get you help	me help you
flowers he like	he like flower
tomorrow will be the wedding	wedding tomorrow
you will stay here till when	how time future you stay here
shopping i love	me like shopping
she was robbed of her purse	she rob her purse
we suffered in pain	suffered pain
the children look up to her	student look her
please in a low voice speak	please say low voice
i cannot see it	me no look it
he was born in chandrapur	he born place c h a n d r a p u r
indians caught pr of canada	indians take p r blank c a n a d a
what is wrong	what problem
she sat between tom and john	she sit between t o m and j o h n
may i leave this book with you	me you book you
he turned 47 on this birthday	he birthday 4 7
all withered are the flowers	she bed ill
i was born in bhadath in 1956	me born place b h a d a t h 1 9 5 6
i have headache	me headache
they is out for work	they town out work
since then i did not see him	me no look her time then
take him to the bathroom	him bathroom go
yesterday how was weather	past how weather
he went outside for business	he town out work
her behaviour is very odd today	she behaviour work odd today
he recognized them	he recognize them
she is digging her own grave	she dig own grave
he is thinking	he thinking
in a louder voice please speak	please say big voice
he are always complaining	he everyday complain
the war was going on and a lot of christians were killed	war kill christian
are you interested in flowers	you like flower
i was born in somnath	me born place s o m n a t h
6 people are there in her family	her family 6 people
448	4 4 8
the ship set sail for kerala	ship sail k e r a l a
flowers he like	he like flower
finish your assignment	you homework finish
this rat is alive or dead	this dog died or breathe
29 people are walking	2 9 people walk
he has juice	he keep drink
shall i give you help	me help you
i took some time to find sapna	s a p n a find time
there is no future in this job	there no future work
where would you like to sit	where you like sit
kamsantak died in 1990	k a m s a n t a k died 1 9 9 0
cut by someone was my kite string	someone cut me flying_kite
355	3 5 5
he turned 48 on this birthday	he birthday 4 8
interesting it seems	that look her like
he was born in october	he born october
the monkey climbed up a tree	monkey climb up tree
our train stopped suddenly	our train close shock
today i turn four years old	today me 4 grow
he was born in aligarh	he born place a l i g a r h
very angry she was 	she angry
5 houses catch fire	5 house burn down
the story was already known by him	he know story past
372	3 7 2
make yourself at home please	please made you home
flowers he like	he like flower
i turn four years old today	today me 4 grow
anyone speaks malayalam	people tell m a l a y a l a m
you were born on 6 august 1983	you born 6 a tiewrist 1 9 8 3
he works hard	he difficult work
42	4 2
he was born in april	he born a blank a
they came tomorrow to see you	they come you look tomorrow
it is a sheer waste of time	this big waste time
she turned 33 on this birthday	she birthday 3 3
you had lunch	you lunch finish
do they have any ticket left	they keep ticket
he was just playing around	he happy
he pulled his girl's ear	he pull girl ear
this plan is not known by many 	big people no know this plan
please give a pen to me	please pen give_me
she is in bed with a fever	she bed with a ill
building	building
you were born in bhiwani	you born place b h i w a n i
the invitation was declined by her	she no invitation
we really ourselves enjoyed	we really enjoyable our
rugby is my favorite game	r u g b y me like game
five minutes please wait	please sit 5 minutes
the story is famous 	story famous
saumitr died in 2014	s a u m i t r died 2 0 1 4
i don’t like looking at her	me no look her
everyone felt sorry for abhimanyusuta	people know sorry a b h i m a n y u s u t a
she was born in tamil nadu	she born place t a m i l n a d u
they will be doctor in future	they wish doctor
send for the doctor	you must send doctor
on sunday he went to goa	he go g o a sunday
tomorrow she come to see you	she come you look tomorrow
she was born in july	she born j y
he could not breathe deeply	he no deep_breath
this book is not famous	everyone know book no
to solve this problem is easy	this problem easy solve
come	come
we go when	we go when
karan gave up smoking for a year	k a r a n give_up smoking 1 year
say which one you would like	say which you like
they went to his father's office	go father office
9 people are there in my family	me family 9 people
be careful please	please  careful
Africa played well last match	a f r i c a play good past match
athletics is my favourite sport	a t h l e t i c s me like game
amulya passed away in 1999	a m u l y a died 1 9 9 9
i understand nothing	me understand nothing
we got bored from her long speech	she long speech bored us
2 people are walking	2 people walk
did she finish her assignment	she homework finish did
does he want to drink something	he drink something want
i worked hard this year doing all the right things and it has really paid off	work difficult true work now year doing thing and take
tomorrow we can meet	we tomorrow meet can
a musician she is not being	she no be musician
pallab passed away in 1994	p a l l a b died 1 9 9 4
wherever you like place it	place wherever you like
i want 5 apples	me like 5 apple
they could not take deep breaths	they no deep_breath
coming are you not	you no come
his clothes bad smell	he shirt waste smell
the flowers have withered all	she bed ill
he is busy	he busy
on 	on 
near her home a fire broke out	her house near fire
i'm sorry to hear this	me know sad
jane looks gorgeous	j a n e beauty
tomorrow i will go to america	me tomorrow go a m e r i c a
he was born in noida	he born place n o i d a
he went to rajasthan on sunday	he go r a j a s t h a n sunday
confused	confused
5 people are there in his family	her family 5 people
how did you come to know her	you how know her
excuse me can i sit here	sorry me this sit can
wait i am thinking	me thinking wait
he is anxious about the result	he correct anxious
i'm going to the theater	me go theater
she turned 17 on this birthday	she birthday 1 7
i'm sure i have seen him before	me must me her look past
they were separated men and women kept apart	men separate women separate
on thursday he went to kerala	he go k e r a l a thursday
i was born in january	me born j eid
418	4 1 8
kamsantak died in 1990	k a m s a n t a k died 1 9 9 0
he went to kerala on thursday	he go k e r a l a thursday
you may take anything you like	you pick like you
he told her to sit down	he say her sit
1 people are walking	1 people walk
sumesh died in 2009	s u m e s h died 2 0 0 9
the vase broke to pieces	vase broken pieces
getting sick with fever her sister died	sister sick ill died
you are always complaining	you everyday complain
735	7 3 5
you were born in january	you born j eid
her parents were scared	father mother scared
the invitation was declined by her	she no invitation
smoking he should stop	me him close smoking
132	1 3 2
cricket is my favourite sport	c r i c k e t me like game
you are shouting at the top of your voice why	why you shout top
he takes dog on walk every morning	he walk his dog every morning
10 houses were burned down	1 0 house burn down
he suddenly closed the door	he close door shock
she have not taken charity from anyone and have worked hard for my whole life	she work difficult she life she no take anyone take
i have not seen him in months	me no look him big month
i don't like the color black	me black like no
did you already book tickets	you ticket bookv did
india is my country	india me country
you speak hindi	you tell h i n d i 
do she like flowers	she like flower
alive	breathe
it is the same for everyone	this same everyone
leopard	leopard
she wants to drink something	she drink something want
i told her to sit down	me say her sit
he was born in bellary	he born place b e l l a r y
a computer i am not being	me no be computer
careful no repeat	alert second tell no
australia is the largest island	a u s t r a l i a big island
the flowers have all withered	she bed ill
my mother died in 1985	me mother died 1 9 8 5
beware do not tell that again	alert second tell no
west indies the cricket match won	w e s t blank i n d i e s win cricket
father got angry at the three quacking ducklings	father angry 3 quacking ducklings
she is ill	she sick
he doesn’t not know swimming	he know no how swim
he pulled his son by the ear	he pull son ear
please everyday feed the dog	please feed dog everyday
some problem you have	what problem
lets meet here again tomorrow	we meet here again tomorrow
her brother died in 1996	her brother died 1 9 9 6
he found her diary in his office	he go office found d i a r y
she could not play cricket	she know no how play cricket
any questions	question
too difficult it was for me	too difficult me
she does not like shopping	she like shopping no
her grandmother died in 2001	her grandmother died 2 0 0 1
thursday	thursday
he wanted to do it for the past 27 years	he like work past 2 7 year
my telephone is out of order	me phone no work
them i asked just what do you think i am	me say them must what you like be
seagull home i will be	me be home seagull
november	n cracker
in three hours he will return	he future return hour 3
october	october
he was born in january	he born j eid
can we meet today	we today meet can
i'm sure i have seen him before	me must me her look past
i am advising her to stop smoking	me her close smoking
is he hungry 	he hungry
she turned 10 on this birthday	she birthday 1 0
can you lend me 100 rupees	what you me 1 0 0 money take
355	3 5 5
he motioned for her to sit down	he say her sit
easily done for her	that she easy work
the crash of the plane took 200 lives	plane accident 2 0 0 die
tomorrow she is going to meet him	she her meet tomorrow
anyone speaks malayalam	people tell m a l a y a l a m
here not allowed is smoking	smoking no allow this
he give me headache	he me headache
she stole my youth	she take my youth
they have been wanting to do it for the last 20 years	they like work past 2 0 year
i send her letters and told her many times to stop sending me used clothes	me write letter again 1 2 3 4 write say close send smell shirt
finding jahnvi took a while	j a h n v i find time
lion	lion
solve	solve
i did not see him since then	me no look her time then
assamese is spoken in assam	a s s a m e s e say a s s a m
she borrow money from you	what money you take
ram wants apples	r a m like apple
could you take her to the bathroom	what you her bathroom go
devani passed away in 2001	d e v a n i died 2 0 0 1
september	s blank s 
he wishes to become a doctor	he wish doctor
she wanted to do it for the last 14 months	she like work past 1 4 month
he is anxious about the result	he correct anxious
596	5 9 6
i will be pleased to help you	me you help happy
on thursday he went to kerala	he go k e r a l a thursday
february, march, april,	f m march a blank a
i went with her on a trip	me accompany roam
i am going to put the baby to bed	me baby bed
he has money	he money have
what your mom work	you mother doing
does she wish for something to eat	she eat something want
she eats food at a cafeteria	she eat there cafeteria
a church i visited i fell in love with it	me visit church and like
there are 766 men walking around	7 6 6 woman walk there
the doctor you must send for	you must send doctor
at the nursing home he worked it was done successfully	he work local nurse where work good
2059	2 0 5 9
nothing he lack	he lack nothing
he's sorry to hear this	he know sad
he eats lunch at a cafeteria	he eat there cafeteria
she has blue eyes and fair hair	she blue eyes good hair
she was born on 25 june 1910	she born 2 5 j rain 1 9 1 0
danish is spoken in denmark	d a n i s h say d e n m a r k
k	k
happy	happy
sit	sit
getting sick with fever her sister died	sister sick ill died
her brother passed away in 1998	her brother died 1 9 9 8
i want someone who tells the truth because it is the easiest to remember to be the leader	me want leader say truth because easy know
good teachers they both are	they both good teacher
she is a hard worker	she difficult work
i'm sorry my father is out	me sorry me father out
go away from my sight	get_out
what your dad job	you father doing
she cannot play cricket	she know no how play cricket
she likes the color white	she white like
will you do what kind of work	what work you do
he pulled his girl by the ear	he pull girl ear
be careful please	please  careful
i have 3 children, 2 step children and grandchildren and life in a nice house	me 3 children 2 step_wife children develop life beauty house
they are acting weird today	they behaviour work odd today
carroms is my favorite game	c a r r o m s me like game
his parents were scared	father mother scared
markandeya died in 2014	m a r k a n d e y a died 2 0 1 4
a cloud of dust was raised by the car	drive raise dust
82	8 2
people speak well of them	people say good them
newspaper	newspaper
i like going shopping	me like go shopping
55	5 5
goat	goat
i am looking pretty	me beauty
when she was 56 years old she died	she 5 6 died
a beautician i am being	me be beauty
the birthday of my sister is today	today me sister birthday
they said just a child	must child they say
the result makes him worried	he correct anxious
2 people are walking	2 people walk
i like the color black	me black like
he was born in tiruvallur in 1982	he born place t i r u v a l l u r 1 9 8 2
he wasn't angry 	he angry no
purple	purple
it is for free	this free
he is worried about the result	he correct anxious
basketball is my favorite game	b a s k e t b a l l me like game
he is intelligent they consider	him intelligent come
my grandmother passed away in 2009	me grandmother died 2 0 0 9
a man got suspicious and told the army	man suspicious phone army
her dream is to be doctor	she wish doctor
your hands wash before meals	you hands wash
he purchased many costly things	he big money purchase
do you have any tickets left	you keep ticket
his long speech bored us all	he long speech bored us
she set her own house on fire	she lit own house
she eats dinner at a canteen	she eat there cafeteria
9 people are there in my family	me family 9 people
you may take anything you like	you pick like you
at 8:30 school begins	school 8 3 0
it is the same for everyone	this same everyone
i was born in janjgir in 1945	me born place j a n j g i r 1 9 4 5
he worried about result	he correct anxious
goods of leather were carried by the shop	shop leather goods
his mother died in 1970	his mother died 1 9 7 0
he allowed her to go alone	he allow her go alone
3 people are walking	3 people walk
they will become a doctor	they wish doctor
you were born on 6 august 1983	you born 6 a tiewrist 1 9 8 3
172	1 7 2
how you doing	how_are_you
how this poem you understand	you how interpret this poem
people speak well of him	people say good him
60 people are walking	6 0 people walk
she was 16 years old when she died	she 1 6 died
he has been wanting to do it for the past 28 years	he like work past 2 8 year
he was born on 7 september 1970	he born 7 s blank s 1 9 7 0
they are used to working hard	they difficult work
she need to answer his letter	she answer her letter
she died when she was 16 years old	she 1 6 died
she doesn’t not know play cricket	she know no how play cricket
her house was set on fire by her	she lit own house
his long speech was boring us all	he long speech bored us
his absence was due to illness	he ill absent
our CM is Vijay Rupani	v i j a y blank r u p a n i our c m
did you book ticket	you ticket bookv did
he has been wanting to do it for the past 21 years	he like work past 2 1 year
her grandmother died in 1989	her grandmother died 1 9 8 9
she takes bath almost every day	she bath every_other_day
they purchased many costly things	they big money purchase
can you give 5000 rupees	what you me 5 0 0 0 money take
she was born in kolhapur	she born place k o l h a p u r
do you know about this book?	you know this book
470	4 7 0
he was disappointed to know this	he know sad
i have got the order to shoot you	me order you shoot
already his work had been done by her	he past complete her work
did you finish homework	you homework finish did
his father we shall try to persuade to send him with us	we try persuade father us
grandfather went to the toilet	grandfather bathroom go
2009	2 0 0 9
that is a great idea	that correct idea
i have written this before but it is worth repeating	me write this past change worth write again
they have been wanting to do it for the last 21 years	they like work past 2 1 year
she went to mumbai on tuesday	she go m u m b a i tuesday
485	4 8 5
let us meet later	we later me meet can
how long have they been abroad	they how time aeroplane stay
she has been wanting to do it for the last 23 months	she like work past 2 3 month
he wanted those shirts washed	he shirt like wash_clothes
this problem is hard to solve	this problem difficult solve
the river is one kilometer across	river 1 k m across
action	action
i was born on 8 november 1926	me born 8 n cracker 1 9 2 6
why is he bothered about their affair	his me talk how concern
when he was 47 years old he died	he 4 7 died
away two kilometers is the town	town 2 k m away
87	8 7
the exciting novel	novel is big excite
the money is over	all money spend
what have you come here for	what you come this 
7 people are there in my family	me family 7 people
on sunday they went to goa	they go g o a sunday
361	3 6 1
may, june,	m a y j rain
there are 82 women walking on the road	8 2 man walk there
she was born in jodhpur	she born place j o d h p u r
on wednesday they went to qatar	they go q a t a r wednesday
you may take anything you like	you pick like you
i love rugby	me like r u g b y
you want to eat something	you eat something want
from may till august	m a y a tiewrist between
we are suffering in pain	suffered pain
i do not like looking at her	me no look her
44 people are walking	4 4 people walk
english is spoken in australia	e n g l i s h say a u s t r a l i a
shall we go together tomorrow	tomorrow we accompany go
6 people are there in my family	me family 6 people
please wait for five minutes	please sit 5 minutes
they came tomorrow to see you	they come you look tomorrow
turn on the light will you	you turn on light
they explained the rule to me	they rule me
these shirts he wants washed	he shirt like wash_clothes
what issue	what problem
this poem how you interpret	you how interpret this poem
have you ever been to india	you ever i n d i a
3 people are there in my family	me family 3 people
they decided to run away	they decide run_away
she was born in april	she born a blank a
my boss will not say yes	me boss say no yes
january, february, march, april, may,	j eid f m march a blank a m a y
all the students look up to her	student look her
they was ill so they was absent	they ill absent
he wants to be a singer	he want singer
i was born in june	me born j rain
this rat is alive or dead	this dog died or breathe
you come to know her how	you how know her
this house belongs to her	he own this house
december february and september	d cold f and s blank s
he is looked up at by the students	student look him
i have not seen him in months	he no look her big month
he was born in rajahmundry in 1974	he born place r a j a h m u n d r y 1 9 7 4
jaiwant passed away in 2000	j a i w a n t died 2 0 0 0
he set his own house on fire	he lit own house
this is time waste	this big waste time
this house belongs to her	he own this house
last year school he change	he change school past year
it is a necessary but undesirable is his view	she view necessary undesirable
she got sick suffered and died	she sick suffered died
wreslting is my favourite sport	w r e s l t i n g me like game
swimming is my favourite sport	s w i m m i n g me like game
she went for me	she me change there go
i like to shop	me like shopping
he eats lunch at a cafeteria	he eat there cafeteria
he could not breathe deeply	he no deep_breath
speaking english isn't easy	english say no easy
i was disappointed to hear this	me know sad
april, may,	a blank a m a y
father has a headache	father headache
i am beautiful	me beauty
46 people are walking	4 6 people walk
don't throw garbage use the dustbin please	please garbage no use dustbin
arguing with her is useless	her talk no work
rayirth passed away in 2011	r a y i r t h died 2 0 1 1
he was sick so he was absent	he ill absent
he was born in kushalnagar in 1999	he born place k u s h a l n a g a r 1 9 9 9
tan	tan
1 people are there in her family	her family 1 people
he decided that her diary should be published	he decide d i a r y published
she turned this into a schedule	she change that schedule
i don't have a headache	me headache no
she was born on 22 august 1992	she born 2 2 a tiewrist 1 9 9 2
december february and september	d cold f and s blank s
up a tree the girl climbed	girl climb up tree
9586132423	9 5 8 6 1 3 2 4 2 3
they are digging their own grace	they dig own grave
hit by a car was a telephone pole	drive accident phone pole
excuse me is anyone sitting here	sorry anyone this sit
a man had doubts and told the army	man suspicious phone army
the plane will arrive at 3	plane come at 3
5852	5 8 5 2
i love judo	me like j u d o
they had to live in the dark to not get caught	light no stay catch no
i will be the home of seagull	me be home seagull
he irritate me	he me headache
everyone mocked him	everyone he laugh
everyone speaks well of them	everyone say good them
it is the same for everyone	this same everyone
591	5 9 1
he has blue eyes and fair hair	he blue eyes good hair
he made me understand the rule	he rule me
she is pleased to help him	she him help happy
i don’t want to look at her	me no look her
there is a bag on the desk	there bag on desk
she turned 19 on this birthday	she birthday 1 9
car you cannot park here	you no keep you drive this
last year school he change	he change school past year
he has tickets	he keep ticket
on the desk is a bag	there bag on desk
they had to live in the dark to not get caught	light no stay catch no
he pulled on his son's ear	he pull son ear
my grandmother died in 1980	me grandmother died 1 9 8 0
finding jahnvi took some time	j a h n v i find time
good question	good question
i will be pleased to help you	me you help happy
i have turned it into a schedule	me change that schedule
he was born in july	he born j y
he was disappointed to know this	he know sad
she turned 32 on this birthday	she birthday 3 2
today we'll meet	we today meet can
i have to catch the 11 o' clock train	me sit 11 time train
2014	2 0 1 4
6 people are walking	6 people walk
he was born in indore	he born place i n d o r e
he was born on 5 october 1937	he born 5 october 1 9 3 7
everyone felt sorry for kirtmalini	people know sorry k i r t m a l i n i
i'm tired	me tired
the work was distributed to everyone	everyone work
172	1 7 2
he eats food at a cafeteria	he eat there cafeteria
this box contains five apples	box contain 5 apple
my grandmother passed away in 2009	me grandmother died 2 0 0 9
you were born in tanda	you born place t a n d a
half of the apples are rotten	half apple worm rotten
his grandmother passed away in 2009	his grandmother died 2 0 0 9
there are 784 women walking around	7 8 4 man walk there
everyone mocked them	everyone they laugh
she was mocked by everyone	everyone she laugh
they worried about result	they correct anxious
red	red
she was born on 30 april 1999	she born 3 0 a blank a 1 9 9 9
her father went to work	go she father office
she is not being a dancer	she no be dancer
4 people are there in his family	her family 4 people
her sister got sick with fever and died	sister sick ill died
three hours he will return	he future return hour 3
can he borrow money	what money you take
he went for me	he me change there go
shift	shift
84 people are walking	8 4 people walk
724	7 2 4
the letter was forgotten by her to mail	she forgot mail letter
everyone felt sorry for kirtmalini	people know sorry k i r t m a l i n i
flying a kite can be dangerous	kite can danger
all felt sorry for danta	people know sorry d a n t a
i feel anxious because of his safety	me him keep anxious
he does not understand anything	he understand nothing
you are not well	you sick
she showed poem to the teacher	she look poem teacher
she studied literature	she study literature
she walks their dog every morning	she walk their dog every morning
everyday feed the dog please	please feed dog everyday
would you like to go abroad	you like go aeroplane
i wanted to do it for the last 26 months	me like work past 2 6 month
they are acting odd	they behaviour work odd today
august	a tiewrist
in a low voice please speak	please say low voice
her brother passed away in 1998	her brother died 1 9 9 8
he want to have a cup of coffee	he want cup coffee
my boss will not say yes	me boss say no yes
she was born on 22 november 1977	she born 2 2 n cracker 1 9 7 7
does she want to drink coffee	she want coffee
bring your mother next time	you mother second accompany come 
you like to sit where	where you like sit
on her birthday she missed her grandmother	birthday missed grandmother
she going to meet someone here	she someone meet here
they cannot swim	they know no how swim
he died after getting sick and suffering	he sick suffered died
what's up	how_are_you
it was a dangerous place	danger place
m	m
5217	5 2 1 7
2200	2 2 0 0
she doesn’t not know play cricket	she know no how play cricket
have you ever written a book	you ever write book
they will stay here how long	how time future they stay here
we at her joke all laughed	we laugh her joke
81	8 1
you were born in vadodara	you born place v a d o d a r a
today is it possible for you to go	you today go can
he was born in may	he born m a y
a real must be diamond this is	this must correct diamond
her sister died sick with fever	sister sick ill died
only a few people live on the island	few people home this island
her sister passed away in 2011	her sister died 2 0 1 1
indians have dark eyes	indians have black eyes
it was very hard but she wrote it	she write difficult
when do you usually go to bed	when go sleep
he was born in mathura	he born place m a t h u r a
i worked on the farm all day	me work farmland day
45	4 5
m	m
she has to put the baby to bed	she baby bed
they were caught in traffic	they catch traffic
your home phone number is what	what you home phone number
have you ever been to africa	you ever a f r i c a
going in our favour is the war	war our favour
i've met a kind woman never	me no meet kind women
there are 153 women walking on the road	1 5 3 man walk there
6997	6 9 9 7
98 people are walking	9 8 people walk
you listen not to me why	you why listen me
i was born in august	me born a tiewrist
is there a cheaper one than that	you keep that cheap
last year school he change	he change school past year
sheep	sheep
it is 7 o'clock	7 watch
we enjoyed ourselves a lot	we really enjoyable our
please give me pen 	please pen give_me
school he changed last year	he change school past year
they result makes them worried	they correct anxious
where would you like to sit	where you like sit
not many people know about this plan	big people no know this plan
everyone felt sorry for kakali	people know sorry k a k a l i
on friday she went to chennai	she go c h e n n a i friday
doctor they will be in future	they wish doctor
78 people are walking	7 8 people walk
is she busy	she busy
meeting you was nice	good meet you
she was absent because of illness	she ill absent
i have written to her a couple times and asked her to stop sending me used clothes	me write letter again 1 2 3 4 write say close send smell shirt
shall i give you help	me help you
she worry result	she correct anxious
29	2 9
office	office
near my home there was a fire	my house near fire
leave	go
photo of the family 	family picture
she was born in agra	she born place a g r a
my suitcases she helped me to pack	she help me suitcase pack
he was caught in traffic jam	he catch traffic
8 people are there in her family	her family 8 people
you have soft drink	you keep drink
haribala died in 2001	h a r i b a l a died 2 0 0 1
her absence was because of sickness	she ill absent
